name,method1_irf,method2_irf,method3_irf,method4_irf,method1_srf,method2_srf,method3_srf,method4_srf,method1_ped,method2_ped,method3_ped,method4_ped,method1_mean,method2_mean,method3_mean,method4_mean
TRAIN001_Cirrus_092,0.42424242424242425,0.3828125,0.40569395017793597,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8080808080808081,0.7942708333333334,0.8018979833926453,0.7999999999999999
TRAIN001_Cirrus_093,0.3185840707964602,0.375,0.291970802919708,0.23809523809523808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7728613569321534,0.7916666666666666,0.7639902676399027,0.746031746031746
TRAIN001_Cirrus_094,0.391304347826087,0.5777777777777777,0.5966850828729282,0.5942028985507246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7971014492753623,0.8592592592592592,0.865561694290976,0.8647342995169082
TRAIN001_Cirrus_095,0.2619047619047619,0.29069767441860467,0.41624365482233505,0.6716417910447762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.753968253968254,0.7635658914728682,0.805414551607445,0.890547263681592
TRAIN001_Cirrus_096,0.0,0.0,0.3684210526315789,0.49056603773584906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7894736842105262,0.830188679245283
TRAIN001_Cirrus_097,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
TRAIN001_Cirrus_098,0.0,0.0,0.64,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.88,0.8148148148148149
TRAIN001_Cirrus_099,0.32,0.32,0.5,0.8395061728395061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7733333333333334,0.7733333333333334,0.8333333333333334,0.9465020576131687
TRAIN001_Cirrus_100,0.5833333333333334,0.675,0.5979381443298969,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8611111111111112,0.8916666666666666,0.865979381443299,0.8888888888888888
TRAIN001_Cirrus_101,0.875,0.45454545454545453,0.8095238095238095,0.7906976744186046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.8181818181818182,0.9365079365079364,0.9302325581395349
TRAIN001_Cirrus_102,0.5620915032679739,0.5751633986928104,0.5641025641025641,0.5844155844155844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8540305010893245,0.85838779956427,0.8547008547008547,0.8614718614718614
TRAIN001_Cirrus_103,0.8148148148148148,0.8214285714285714,0.8620689655172413,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9382716049382717,0.9404761904761904,0.9540229885057471,0.9404761904761904
TRAIN001_Cirrus_104,0.367816091954023,0.375,0.23841059602649006,0.4842105263157895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.789272030651341,0.7916666666666666,0.7461368653421633,0.8280701754385964
TRAIN001_Cirrus_105,0.736,0.7543859649122807,0.7727272727272727,0.6222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9119999999999999,0.9181286549707602,0.9242424242424242,0.8740740740740741
